Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Transportation ,Finding Transportation
Student,18,2,0,White,,,3,,,,,
Student,20,2,1,White,2,,0,Completely trust,Very safe,Very confident,Vaccinations at Legends,Distance and time appointments
Student,54,2,0,White,1,I do not believe it is necessary for one; and I will never take a vaccine that was developed by Bill Gates who never even had his own children vaccinated against real threats! I do NOT trust this vaccine nor do I believe ANY of the political propaganda surrounding this virus!,,Do not trust at all,Not safe at all,Not at all confident,NOTHING...NEVER going to take it,EVERYTHING....I will NEVER get this vaccine...EVER
Staff,20,2,0,White,1,Too much to type lol,,Somewhat trust,Mostly safe,Somewhat confident,Nothing lol,
Student,23,2,0,White,,,3,,,,,
Student,22,1,1,White,1,I have not hesitated. My friend is skeptical because they say â€œitâ€™s not studied enoughâ€ even though I disagree with them.,,Completely trust,Mostly safe,Very confident,Variety of dates when vaccines are getting issued. ,"Limited dates available, and poor communication from App State about when and how to get a vaccine"
Student,40,1,0,White,,,3,,,,,
Staff,60,1,1,White,,,0,,,,,
Staff,19,2,1,White,1,Grandfather having heart issues,,Somewhat trust,Not sure,Only slightly confident,N/A,N/A
Student,20,2,0,White,,,3,,,,,
Student,21,2,1,White,,,0,,,,,
Student,22,2,1,White,2,,0,Completely trust,Very safe,Very confident,flexible schedule,long distance travel
Student,24,2,0,White,1,"I am already weary of needles and that is a big reason why I would avoid it. I am nervous the side effects of the shot (soreness, fatugue) would be worse than the symptoms I had during COVID",,Somewhat trust,Mostly safe,Somewhat confident,I might wait until after the school year so that my academics and any symptoms do not combine to cause stress. ,If I have to travel over 20 minutes to go get it. 
Student,19,2,0,White,3,,3,Somewhat trust,Mostly safe,Somewhat confident,,
Student,21,1,0,White,1,I donâ€™t trust anything I read or hear from the government or media,,Do not trust at all,Not safe at all,Not at all confident,N/A,N/A
Student,,1,0,White,,,3,,,,,
Staff,67,1,1,White,,,0,,,,,
Staff,,1,1,White,,,0,,,,,
Staff,25,2,1,White,2,,0,Mostly trust,Very safe,Very confident,Being able to choose an appointment time that accommodates my work and class schedule.,Not being able to choose an appointment time or having to drive very far to get the shot.
Student,66,2,0,White,,,3,,,,,
Staff,29,2,1,White,,,0,,,,,
Staff,,1,1,White,2,,0,Completely trust,Very safe,Very confident,Email communication ,Lack of communications 
Staff,18,2,0,White,1,The fact that the vaccine was developed so quickly and there has been little time for testing. ,,Completely trust,Very safe,Somewhat confident,I don't really know.,I also don't know. 
Student,20,1,0,White,2,,3,Completely trust,Very safe,Somewhat confident,N/A,N/A
Student,20,1,0,White,,,3,,,,,
Student,20,1,1,White,2,,0,Somewhat trust,Mostly safe,Somewhat confident,A close location to my dorm or the possibility of having a separate testing area for both sides of campus ,Transportation and parking
Student,19,1,0,White,,,3,,,,,
Student,18,1,1,White,1,Side effects ,,Do not trust at all,Not safe at all,Not at all confident,"Nothing, Iâ€™m not getting it ",Nothing. Iâ€™m not getting it
Student,19,2,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,"I wouldnâ€™t need anything, I would get it as soon as I could.",If the conditions of the vaccine clinic were unsafe (if the people at the clinic were not following covid-19 safety guidelines)
Student,50,2,0,White,,,3,,,,,
Staff,21,1,1,White,2,,0,Completely trust,Very safe,Very confident,Telling me what group I am in and if it is available,
Student,31,2,0,Black or African American,2,,3,Mostly trust,Mostly safe,Somewhat confident,It being accessible on campus for me to take or at my neighboring pharmacy,The cost and limited times to receive the vaccine (ie- between 9-5
Staff,18,2,0,White,1,Bad reactions that happen to people once they get the vaccine,,Somewhat trust,Mostly safe,Somewhat confident,Knowing more about the actual vaccine and doing research ,Not knowing all the side effects or how I will react to it
Student,19,2,0,White,3,,3,Do not trust at all,Not sure,Only slightly confident,More research ,No more credible research
Student,18,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,52,1,0,White,2,,3,Completely trust,Very safe,Very confident,,
Staff,44,1,0,White,,,3,,,,,
Student,37,2,1,White,2,,0,Completely trust,Very safe,Very confident,Ease of scheduling and a safe (socially distanced) area to get vaccine,Long lines or drive-up for the vaccine
Student,20,2,0,White,,,3,,,,,
Student,51,2,1,White,,,0,,,,,
Staff,23,3,1,White,2,,0,Mostly trust,Very safe,Very confident,better explanation of who qualifies for what stage/how to physically go about getting it. ,Lack of information about making appointments/ how to go about getting it. 
Student,19,2,0,White,1,some of the side affects ,,Do not trust at all,Not safe at all,Somewhat confident,,the unknown long term affects 
Student,38,1,0,White,3,,3,Somewhat trust,Not sure,Only slightly confident,,
Student,45,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Time,Not enough time to feel under the weather. Time is a huge issue right now!!
Student,32,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Drive-thru,Being in town
Staff,21,2,0,White,,,3,,,,,
Student,20,1,1,White,2,,0,Not sure,Mostly safe,Only slightly confident,send an email. just lmk,idk this fuck shit no spring break ass schedule y'all jackasses gave us
Student,21,2,0,White,1,It causes infertility,,Not sure,Very safe,Very confident,Being given an appointment that works with my class schedule. ,Not being able to get an appointment time
Student,18,2,0,White,,,3,,,,,
Student,22,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,Tell me where to get it. ,Child care
Student,20,3,0,White,3,,3,Mostly trust,Very safe,Somewhat confident,being told that its available ,"not being told that its available, only being able to get it on certain dates/times"
Student,,3,0,White,,,3,,,,,
Staff,44,3,1,White,,,0,,,,,
Staff,21,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,"Nothing, I would definitely get it ",Location 
Student,19,2,0,White,,,3,,,,,
Student,32,1,1,White,1,J&J vaccine makes use of aborted tissues ,,Mostly trust,Mostly safe,Somewhat confident,"Location, knowledge of what kind of vaccine.",No information ahead of time on the type/manufacturing
Staff,19,2,0,"Hispanic or Latinx,White,Biracial / Multiracial / Mixed",2,,3,Completely trust,Very safe,Very confident,On campus vaccination,Time
Student,19,2,0,Asian,2,,3,Mostly trust,Very safe,Somewhat confident,n/a,n/a
Student,20,1,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,A waiting list so that lines and crowds would be avoided.,"Confusing location directions, paperwork, etc."
Student,,1,0,White,,,3,,,,,
Staff,19,2,1,White,1,General disruption to everyday life for a few days regarding Johnson & Johnson,,Somewhat trust,Mostly safe,Somewhat confident,Some more research on outcome/results,hearing of poor side effects
Student,20,2,0,White,,,3,,,,,
Student,24,2,1,White,,,0,,,,,
Student,19,1,1,White,3,,0,Somewhat trust,Mostly safe,Somewhat confident,The vaccine would have to have shown almost foolproof accuracy in protecting against the virus,Time
Student,21,2,0,Hispanic or Latinx,2,,3,Completely trust,Very safe,Very confident,,
Student,18,2,0,White,3,,3,Mostly trust,Very safe,Very confident,University reach out to me and I sign up for a time slot to receive it.,The university not being open about how/where a vaccine would be available to me.
Student,21,2,0,White,2,,3,Completely trust,Very safe,Very confident,There is nothing that would make it easier!,There is nothing that would make it difficult. 
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Being close by,Transportation 
Student,19,1,0,White,3,,3,Mostly trust,Very safe,Very confident,An organized and accessible way of distributing the vaccines. ,Nothing in particular.
Student,60,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,I am scheduled for one tomorrow at App State,N/A
Staff,19,2,0,Black or African American,2,,3,Completely trust,Very safe,Very confident,I would take it no questions asked ,I would take it no questions asked 
Student,21,2,0,White,2,,3,Somewhat trust,Mostly safe,Somewhat confident,Text updates,Scheduling 
Student,20,2,0,White,,,3,,,,,
Student,19,2,1,White,2,,0,Somewhat trust,Not sure,Somewhat confident,for vaccine availability and times to get it,"times to get it, if I get Covid"
Student,19,2,0,White,,,3,,,,,
Student,21,2,1,White,2,,0,Completely trust,Very safe,Very confident,Easy sign up,Hard to figure out how to get it. 
Student,20,2,0,White,1,Weird symptoms ,,Somewhat trust,Not safe at all,Only slightly confident,The cost,Side effects 
Student,19,1,0,White,2,,3,Completely trust,Very safe,Very confident,An email providing information and instruction,A lack of organization
Student,19,1,0,White,2,,3,Mostly trust,Very safe,Very confident,Wide spread information about getting a vaccine ,Not enough information about how to get it 
Student,18,1,0,Asian,2,,3,Mostly trust,Mostly safe,Very confident,multiple clinics set up across campus instead of in one location,long lines to get the vaccine
Student,20,2,0,Black or African American,2,,3,Mostly trust,Very safe,Somewhat confident,If we were able to do walk ins or schedule an appointment ,Everyone would be trying to get one so Iâ€™d fear it would be a long process
Student,22,2,0,Black or African American,,,3,,,,,
Student,19,2,1,White,2,,0,Completely trust,Very safe,Very confident,Emails ,Lack of structure and organization of the process 
Student,19,1,0,White,2,,3,Not sure,Not sure,Not sure,if i knew for a fact i would be immune to getting covid,knowing the risks
Student,21,3,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,A place I could get it in town,Needing to travel out of Boone
Student,20,3,0,White,,,3,,,,,
Student,20,2,1,White,1,"There is just so much information there about the vaccine as well as ""misinformation"" that does plant seeds of doubt in some ways. I don't doubt the vaccine helps or that covid exists or anything like that but I do have concerns and that isnt just to the covid vaccine thats to vaccines in general.",,Do not trust at all,Not safe at all,Only slightly confident,Giving me a choice whether to get it or not. Not making me get it to be able to go about my daily business or giving those vaccinated abilities to gather or not wear masks or whatever that would incentivise getting vaccinated. ,My beliefs and my feelings towards getting vaccinated in general or people being hateful to those who choose nto to get them and the university allowing people to be ostracized just because of their unwillingness to get the vaccination
Student,,2,0,White,,,3,,,,,
Student,,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,The University was providing vaccines.,If it was a lot of money.
Student,19,1,0,"Hispanic or Latinx,White",2,,3,Completely trust,Very safe,Very confident,,The fact that I have already had the virus makes getting the vaccine an unnecessary hassle
Student,19,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,If it was given on campus. ,If it was given somewhere off campus. 
Student,46,1,0,White,1,Deaths related to vaccine ,,Do not trust at all,Not safe at all,Not at all confident,I am Not taking the vaccine,I am not taking the vaccine 
Staff,20,1,0,White,1,Too soon,,Mostly trust,Mostly safe,Very confident,More research,IDK
Student,40,1,0,White,,,3,,,,,
Staff,19,1,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,"A streamline, simple process to get the vaccine via ASU.","Not much, I would get the vaccine."
Student,21,2,0,White,1,Fetal cell tissue used in J&J production,,Mostly trust,Very safe,Somewhat confident,Accessibility,
Student,20,2,0,Biracial / Multiracial / Mixed,3,,3,Mostly trust,Very safe,Somewhat confident,For this vaccine to be offered to students working at home- finding more locations,Distance from campus
Student,20,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Knowing I would have one dose,having to get a second dose and be moving out of residence hall at the end of semester
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,I just want to wait and see how it plays out over a longer course of time. ,Proven to cause fertility issues in women. 
Student,51,2,0,White,,,3,,,,,
Staff,20,1,1,White,1,Getting sick from the vaccine.,,Mostly trust,Mostly safe,Somewhat confident,"Drop in vaccinations, no time reservations.",Long wait for the vaccine or unorganized way of distributing it.
Student,26,1,0,White,,,3,,,,,
Staff,35,1,1,White,,,0,,,,,
Staff,60,1,1,White,1,The vaccine has a protein strand that attaches to your DNA,,Do not trust at all,Not safe at all,Not at all confident,Getting handcuffed and dragged by my heels.,Nothing
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,,
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Having a set time available so I wouldn't have to worry about missing anything else in my schedule ,Having to go off campus to receive it
Student,18,1,0,White,2,,3,Completely trust,Very safe,Very confident,If there were multiple days and/or time in order to receive it. If the location was close to campus preferably within walking distance.,If the location was far from campus or scheduled to be received during a class.
Student,71,1,0,White,,,3,,,,,
Staff,62,1,1,White,,,0,,,,,
Staff,19,1,1,White,1,Emotional issues,,Mostly trust,Very safe,Somewhat confident,A flexible time to get it done.,I might be back home or be busy with school work
Student,19,2,0,White,1,There were two people that live around me who got the first shot and was fine and then within three days of the shot they died. They had perfect health.,,Do not trust at all,Not sure,Not at all confident,I don't plan on getting the vaccine.,Just getting it in general would be difficult.
Student,,1,0,Asian,2,,3,Do not trust at all,Mostly safe,Only slightly confident,Location,Location
Student,21,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,I would get it,bad reactions 
Student,18,1,0,White,1,"Not heard but a vaccine being produced in this quantity and at this speed, makes me hesitant and wonder what long term effects it has that we donâ€™t know about.",,Somewhat trust,Not sure,Somewhat confident,If I could teleport,"If when I went to get it, instead of concrete the roads were composed of human organs"
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Transportation,Transportation
Student,20,1,0,White,1,dont trust it,,Mostly trust,Mostly safe,Only slightly confident,nothing,nothing
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,On-campus vaccines,Vaccinations off campus
Student,19,1,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Set timing to avoid lines,"Weather, travel, and classes"
Student,19,2,0,White,1,Could affect fertility in the future. ,,Somewhat trust,Mostly safe,Very confident,Viewing the effective rates of the vaccine. ,Reading the side effects of the vaccine. 
Student,20,3,0,Asian,2,,3,Completely trust,Very safe,Very confident,Alert me to openings in appointments for receiving the vaccine.,Sparse scheduling times to receive the vaccine.
Student,21,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Receiving info on where to get it and having time flexibility as to when I got it,Being scheduled on weekends or during my classes
Student,22,1,0,"Black or African American,White,Biracial / Multiracial / Mixed",2,,3,Completely trust,Very safe,Very confident,An email describing exactly when and how to recieve it. ,Narrow appointment ranges
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,An appointment time,schedule 
Student,28,2,0,"White,Biracial / Multiracial / Mixed,Other",1,Potential to cause infertility. It has not been around long enough that it wont cause issues with fertility or infant health,,Do not trust at all,Not sure,Only slightly confident,Unquestionable evidence it wont cause harm to my ability to produce a healthy baby,Complete lack of trust in the government
Student,,2,0,Black or African American,2,,3,Mostly trust,Mostly safe,Somewhat confident,fast and efficient process,dishonesty
Student,18,1,0,White,3,,3,Completely trust,Very safe,Very confident,Through school,None
Student,20,2,0,White,2,,3,Mostly trust,Very safe,Very confident,Definitely availability and frequent communication. Itâ€™s hard to know how to sign up ,People just donâ€™t know how to get it 
Student,21,2,0,"Asian,White",1,facial paralysis ,,Somewhat trust,Not sure,Not at all confident,accessible transportation,Not having a way of transportation
Student,21,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Convenient location ,N/A
Student,64,1,0,White,,,3,,,,,
Staff,21,2,1,White,2,,0,Mostly trust,Very safe,Very confident,Appropriate times to receive it as I work full time,N/A
Student,21,2,0,White,,,3,,,,,
Student,,2,1,White,,,0,,,,,
Student,20,2,1,White,,,0,,,,,
Student,21,2,1,White,2,,0,Somewhat trust,Mostly safe,Somewhat confident,"I can't think of anything that would make it easier, it seems easy to me. ","I wish I could get it now, that is the only hardship I am having is not being available for it now. "
Student,18,2,0,White,1,"It has been said the mark of the beast, itâ€™s been said to have a chip, and itâ€™s been said a way for the government to control us. I have never taken a flu vaccine and wonâ€™t be taking one of these. ",,Do not trust at all,Not safe at all,Not at all confident,nothing,nothing
Student,20,2,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident,Having a few options of days or times,work or schoolwork
Student,,1,0,White,1,That it was incredibly rushed and the long term data on the effects of the vaccine just arenâ€™t there.,,Somewhat trust,Not sure,Somewhat confident,Provide data surrounding the long term effects. ,Not having the long term data and specific information about its manufacture. 
Student,20,1,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Giving out multiple appointment times,Not having enough
Student,53,1,0,White,,,3,,,,,
Staff,,1,1,White,1,,0,Do not trust at all,Not safe at all,Not at all confident,,
Student,24,3,0,White,1,Lawsuits against Johnson & Johnson where they have cut corners in their products i.e. asbestos in baby powder,,Mostly trust,Very safe,Somewhat confident,Mobile vaccine clinic,Access to technology/knowledge of vaccine waitlist registration 
Staff,,3,0,White,,,3,,,,,
Staff,19,2,1,"Hispanic or Latinx,White",2,,0,Completely trust,Mostly safe,Somewhat confident,Wide choice of hours to receive it ,Limited hours
Student,23,1,0,White,2,,3,Completely trust,Very safe,Very confident,convenient time and location,"long wait times, no guarantee enough will be available"
Student,39,1,0,White,2,,3,Completely trust,Very safe,Very confident,Drive through clinic and flexible hours.,Limited options on campus and limited hours.
Student,26,2,0,Black or African American,1,"issued much too quickly, not much information about trials given",,Somewhat trust,Not sure,Only slightly confident,"more information about the side effects, more trial information",less information
Student,20,2,0,White,1,"I saw a news article about a woman who died, and my uncle's friend had a really bad reaction to it. But I understand the risks and will absolutely get it anyways.",,Completely trust,Very safe,Very confident,A clear email telling me where and how to sign up,Not knowing about it
Student,22,1,0,White,2,,3,Mostly trust,Mostly safe,Not at all confident,N/A,N/A
Student,60,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,On campus ,Supply shortages 
Staff,20,2,0,White,1,The side effects,,Somewhat trust,Very safe,Only slightly confident,Iâ€™ll get it because itâ€™s the right thing to do regardless ,Unknown long term effects
Student,64,2,0,White,,,3,,,,,
Staff,39,2,1,White,,,0,,,,,
Student,19,2,1,White,1,there has not been enough study done of this vaccine to know the long term effects such as fertility,,Do not trust at all,Not safe at all,Not at all confident,nothing - i will not be getting the vaccine,nothing - i will not be getting the vaccine
Student,22,2,0,White,,,3,,,,,
Student,20,2,1,"Hispanic or Latinx,White,Biracial / Multiracial / Mixed",2,,0,Completely trust,Very safe,Very confident,A form to sign up quickly,Parking on campus and my work schedule
Student,,2,0,White,1,it affects womenâ€™s reproductive system ,,Mostly trust,Mostly safe,Somewhat confident,information ,location issues 
Student,19,2,0,Hispanic or Latinx,1,The vaccine causes bad side effects and health issues,,Mostly trust,Mostly safe,Somewhat confident,Setting up an appointment to get it,Finding the time to get it
Student,20,1,0,White,1,Peer having negative reaction to vaccine feeling slightly ill,,Completely trust,Very safe,Somewhat confident,Access on campus and easy to follow instructions,Large lines
Student,23,1,0,White,,,3,,,,,
Student,19,1,1,White,1,"Distrust of the owner of the company that was the primary developer of the vaccine. Typically, vaccines are tested in trials for 5-10 years before being administered en masse, which this one obviously hasn't been. ",,Do not trust at all,Not sure,Only slightly confident,"I won't, leave me alone about it.","Irrelevant, I won't do it. "
Student,,2,0,White,1,Unsure of the side effects/vaccine hasn't been around long enough to be studied. ,,Somewhat trust,Not sure,Somewhat confident,I am unsure if I want the vaccine. ,Unsure if I want the vaccine. 
Student,18,2,0,White,1,"There has not been enough testing done on it, we do not know the long term side-effects, and too many people have had bad reactions to it, include some of the people I am close with.",,Do not trust at all,Not safe at all,Not at all confident,Nothing. I will not get a COVID-19 vaccine.,Nothing. I will not get a COVID-19 vaccine.
Student,19,3,0,"Hispanic or Latinx,White",3,,3,Mostly trust,Very safe,Somewhat confident,"A flexible schedule in which to get it (due to classes), and facilities to get it that are within an easy walking distance from campus.","If I was unable to decide what date I could receive it (I have a professor that is strict with absences), or if the place to receive it was far away."
Student,19,2,0,White,1,Side effects,,Somewhat trust,Mostly safe,Somewhat confident,A list of possibly allergic reactions that could come from the vaccine,Na
Student,20,2,0,White,,,3,,,,,
Student,20,2,1,White,3,,0,Mostly trust,Mostly safe,Somewhat confident,"Availability to get it on the weekends, not during class time. ","Long waiting periods, not being able to get an appointment around my school and work schedule "
Student,18,2,0,White,1,,3,Do not trust at all,Not safe at all,Not sure,If everyone else around me gets the vaccine,nothing 
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,"Provided through the university, flexibility in scheduling appointment, location on campus","Location is off campus, appointment time is assigned and I can't adjust it. "
Student,58,2,0,White,,,3,,,,,
Staff,21,1,1,White,2,,0,Mostly trust,Very safe,Very confident,Notified about it,Too many people 
Student,19,2,0,White,3,,3,Mostly trust,Mostly safe,Only slightly confident,Offered on campus and at a time convenient to class schedule.,The idea that weâ€™d be standing in a line waiting to get stabbed with a needle.
Student,20,1,0,White,1,"Dependent on your conditions, the vaccine can affect fertility later in life.",,Somewhat trust,Not sure,Somewhat confident,Knowing that I cannot carry the disease. (Not concerned with having COVID rather than being a carrier of it),Knowing my personal health could be at risk with potential side effects.
Student,23,1,0,Hispanic or Latinx,1,"Side effects, some deaths? ",,Mostly trust,Mostly safe,Somewhat confident,Have it somewhere on campus,Not having a scheduled time. Id have to expect to wait in a line or something. Id need to make time between work and school
Student,18,2,0,Black or African American,1,"Fear of the side effects, and fear of being used as test subjects.",,Somewhat trust,Not sure,Somewhat confident,More positive results from people who have gotten the vaccine,People who have gotten the vaccine presenting with negative side effects.
Student,,2,0,Black or African American,2,,3,Do not trust at all,Not safe at all,Not sure,If it can be provden not to have any side affects to internal organs over time.,Proof that it would NOT have ANY side effects on internal organs.
Student,21,2,0,Black or African American,,,3,,,,,
Student,38,2,1,Black or African American,,,0,,,,,
Staff,41,2,1,Black or African American,,,0,,,,,
Student,,2,1,Black or African American,,,0,,,,,
Staff,56,2,1,Black or African American,,,0,,,,,
Staff,,2,1,Black or African American,,,0,,,,,
Staff,19,2,1,Black or African American,,,0,,,,,
Student,45,2,1,Black or African American,,,0,,,,,
Staff,,2,1,Black or African American,,,0,,,,,
Staff,20,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,Spread of information/awareness about when/where to get it. ,No information being spread or shared with myself or other students. 
Student,,1,0,White,1,Fertility Issues,,Somewhat trust,Mostly safe,Only slightly confident,Hearing from other students who have the vaccine and how they are doing with it,Seeing reactions from others who have taken it.
Student,21,2,0,White,2,,3,Completely trust,Mostly safe,Somewhat confident, , 
Student,56,2,0,White,,,3,,,,,
Staff,,2,1,White,,,0,,,,,
Staff,,1,1,White,2,,0,Somewhat trust,Mostly safe,Somewhat confident,If it were a one shot vaccine.,Nothing
Staff,20,1,0,White,,,3,,,,,
Student,21,1,1,White,,,0,,,,,
Student,20,1,1,White,,,0,,,,,
Student,21,1,1,White,,,0,,,,,
Student,18,1,1,"Asian,White,Other",2,,0,Mostly trust,Mostly safe,Somewhat confident,schedueled times for people to get the vaccine,long lines and disorganized planning.
Student,64,1,0,"Asian,White,Other",,,3,,,,,
Staff,20,2,1,White,2,,0,Mostly trust,Very safe,Very confident,Notifying me when it is available in an email along with the location on campus,
Student,49,2,0,White,1,"reactions, quick development of a new type of vaccine",,Not sure,Not sure,Only slightly confident,getting the J&J vaccine,already having the vaccine-just wondering why my natural immunity is not enough
Staff,,1,0,White,2,,3,Mostly trust,Very safe,Very confident,,
Student,20,1,0,White,,,3,,,,,
Student,60,1,1,White,,,0,,,,,
Staff,56,1,1,White,,,0,,,,,
Staff,23,2,1,Hispanic or Latinx,1,mutations,,Mostly trust,Mostly safe,Somewhat confident,,getting sick 
Student,21,2,0,White,2,,3,Mostly trust,Very safe,Very confident,On campus locations,Off campus locations
Student,18,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Location on campus ,Times that donâ€™t work with my class schedule 
Student,21,2,0,White,1,Rumors of infertility and dimensia,,Mostly trust,Mostly safe,Somewhat confident,If I could actually get an email to schedule it ,Nothing 
Student,66,2,0,White,,,3,,,,,
Staff,22,2,1,White,1,side effects of the vaccine,,Mostly trust,Mostly safe,Somewhat confident,email updates for on campus vaccine sites,there isn't a lot of access to on campus resources for COVID-19 if you are an off campus student
Student,22,2,0,White,,,3,,,,,
Student,22,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,,
Student,18,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Being able to receive the vaccine on-campus.,Having to go somewhere off campus to recieve the vaccine.
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,it being nearby,it being further away
Student,24,2,0,White,,,3,,,,,
Student,52,2,1,White,2,,0,Completely trust,Very safe,Somewhat confident,"qualifying at my age, and even though I teach remotely (until I get the vaccine)",NA
Staff,53,2,0,White,,,3,,,,,
Staff,34,2,1,White,,,0,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Very safe,Somewhat confident,Transportation to the site,Lack of transportation
Student,21,1,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Clear information of how I qualify and how and when to get it,Not having enough information
Student,19,3,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Multiple time slots to go get the vaccine,Having only one time to get the vaccine 
Student,18,1,0,White,1,I have heard of side effects that are of some concern to a few people who have gotten the shot.,,Mostly trust,Mostly safe,Somewhat confident,Knowing the common side effects and the likelihood of them occurring after receiving the vaccine.,N/A
Student,53,1,0,White,,,3,,,,,
Staff,18,2,1,White,1,I've heard that the vaccine gives you symptoms after the second shot. And the vaccine has not been released for very long.  No one really knows the long term affects of the vaccine. ,,Do not trust at all,Not safe at all,Not at all confident,Nothing. I'm not getting a vaccine.,Nothing.  I'm not getting a vaccine. 
Student,49,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Better information and communication,Continued poor information and communication from both Appstate and Apphealthcare
Staff,19,1,0,White,,,3,,,,,
Student,19,2,1,White,1,People getting sick and/or dying after receiving the vaccine ,,Mostly trust,Mostly safe,Somewhat confident,reassurance that it is safe and approval from family members,judgement from others and how i've heard people getting sick after the vaccine
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,Easily being able to make an appointment,No spots being avalible
Student,19,2,0,White,2,,3,Mostly trust,Very safe,Somewhat confident,"If it were closer to the end of the day, closer to the end of the week. It would be awesome if it were on a weekend.",If it was in the middle of a school day.
Student,20,2,0,White,,,3,,,,,
Student,18,3,1,White,2,,0,Completely trust,Very safe,Very confident,,
Student,41,1,0,White,1,"ineffectiveness vs new strain, side effects",,Do not trust at all,Not sure,Only slightly confident,onsite deliverable ,scheduling 
Student,20,1,0,White,1,People getting sick from it.,,Mostly trust,Very safe,Somewhat confident,Information on when and where to get it.,No information on when and where to get it.
Student,19,1,0,White,2,,3,Mostly trust,Very safe,Very confident,"If it's free and being distributed less than 3 hours away, I will definitely get it",If it's a long drive to the distributor
Student,20,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,A day off of class to go get it,Being too busy
Student,19,2,0,White,1,"I do not trust a rushed vaccine to a virus that has caused a global pandemic. I have seen it politically charged, I have seen false positives, and I have seen a year of lockdowns on a ""Two Month Plan"". I will not be a test subject  ",,Do not trust at all,Not safe at all,Only slightly confident,I still would not get it ,"There is nothing difficult about it, I have no intention of taking it"
Student,21,1,0,White,1,"The side effects of the vaccine scare me, and Iâ€™m not sure what all is in the vaccine so Iâ€™m hesitant about it.",,Do not trust at all,Not safe at all,Only slightly confident,Nothing. Do not want it.,Nothing. Do not want it.
Student,20,4,0,White,2,,3,Completely trust,Very safe,Very confident,If there were a place nearby to receive the vaccine within walking distance from campus or the bus system.,"If the campus were to close, I suppose. Then it would be difficult to travel back to receive the vaccine."
Student,20,2,0,White,1,It is making people feel sick and weak ,,Somewhat trust,Not sure,Only slightly confident,Times outside of normal business hours,Having it during normal business hours
Student,19,2,0,White,2,,3,Completely trust,Very safe,Somewhat confident,Multiple clinics offered on ASU campus,Scheduling conflicts 
Student,,2,0,White,,,3,,,,,
Staff,,2,1,Hispanic or Latinx,2,,0,Completely trust,Mostly safe,Very confident,a free meal or gift card,wait times
Staff,21,2,0,Hispanic or Latinx,,,3,,,,,
Student,23,2,1,White,1,"The vaccine has not been out long, so there is little known about whether there will be any long-term side effects.",,Mostly trust,Mostly safe,Somewhat confident,,
Student,20,2,0,Other,2,,3,Completely trust,Very safe,Somewhat confident,for someone to contact me at manshoorya@appstate.edu,if I did not get contacted
Student,19,2,0,Other,,,3,,,,,
Student,23,2,1,White,1,Side effects and not knowing long term side effects ,,Mostly trust,Mostly safe,Somewhat confident,,
