Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles,Reasons for Hesitation_pol,Reasons for Hesitation_subj,Reasons for Hesitation_sent,Obstacles_sent,Accessibility_sent,Accessibility_n,Obstacles_n,Reasons for Hesitation_n,Respondent_n,Race_n,Confidence Level_n,Trust Level_n,Safety Level_n,Cluster,Obstacles_tk,Reasons for Hesitation_tk,Accessibility_tk 
Student,21,3,0,White,2.0,affects,3.0,Completely trust,Very safe,Very confident,Attendance Waiver class class time,Class work,0.0,0.0,neutral,neutral,neutral,26,35,175,1,18,4,0,3,4,"['Class', 'work']",['affects'],"['Attendance', 'Waiver', 'class', 'class', 'time']"
Student,19,1,0,White,2.0,affects,3.0,Completely trust,Very safe,Very confident,Dates,Odd times,0.0,0.0,neutral,negative,positive,62,192,175,1,18,4,0,3,2,"['Odd', 'times']",['affects'],['Dates']
Student,19,1,0,White,2.0,affects,3.0,Completely trust,Very safe,Very confident,Dates,Odd times,0.0,0.0,neutral,negative,positive,62,192,175,1,18,4,0,3,2,"['Odd', 'times']",['affects'],['Dates']
Staff,34,2,1,White,1.0,side-effects efficacy vaccine.,3.0,Do not trust at all,Not safe at all,Not at all confident,"studies effects vaccine, time passed people getting vaccine","side-effects reported, questions efficacy",0.0,0.0,neutral,neutral,neutral,663,580,350,0,18,0,1,1,3,"['side-effects', 'reported', ',', 'questions', 'efficacy']","['side-effects', 'efficacy', 'vaccine', '.']","['studies', 'effects', 'vaccine', ',', 'time', 'passed', 'people', 'getting', 'vaccine']"
Student,20,2,0,White,1.0,side-effects efficacy vaccine.,3.0,Do not trust at all,Not safe at all,Not at all confident,"studies effects vaccine, time passed people getting vaccine","side-effects reported, questions efficacy",0.0,0.0,neutral,neutral,neutral,663,580,350,1,18,0,1,1,3,"['side-effects', 'reported', ',', 'questions', 'efficacy']","['side-effects', 'efficacy', 'vaccine', '.']","['studies', 'effects', 'vaccine', ',', 'time', 'passed', 'people', 'getting', 'vaccine']"
Student,18,2,1,White,2.0,side-effects efficacy vaccine.,0.0,Mostly trust,Very safe,Very confident,available campus pharmacy Boone,,0.0,0.0,neutral,neutral,positive,358,0,350,1,18,4,2,3,4,[],"['side-effects', 'efficacy', 'vaccine', '.']","['available', 'campus', 'pharmacy', 'Boone']"
Student,20,2,0,White,2.0,side-effects efficacy vaccine.,3.0,Mostly trust,Very safe,Very confident,available campus pharmacy Boone,,0.0,0.0,neutral,neutral,positive,358,0,350,1,18,4,2,3,4,[],"['side-effects', 'efficacy', 'vaccine', '.']","['available', 'campus', 'pharmacy', 'Boone']"
Student,42,2,1,White,2.0,side-effects efficacy vaccine.,0.0,Mostly trust,Very safe,Very confident,available campus pharmacy Boone,,0.0,0.0,neutral,neutral,positive,358,0,350,1,18,4,2,3,4,[],"['side-effects', 'efficacy', 'vaccine', '.']","['available', 'campus', 'pharmacy', 'Boone']"
Student,19,2,1,White,2.0,side-effects efficacy vaccine.,0.0,Completely trust,Very safe,Somewhat confident,on-campus,,0.0,0.0,neutral,neutral,neutral,586,0,350,1,18,3,0,3,4,[],"['side-effects', 'efficacy', 'vaccine', '.']",['on-campus']
Student,21,2,0,White,2.0,side-effects efficacy vaccine.,3.0,Mostly trust,Very safe,Very confident,"appointment app state. appointment time, up.","schedule appointment find doctor me, app state not.",0.0,0.0,neutral,positive,neutral,345,567,350,1,18,4,2,3,3,"['schedule', 'appointment', 'find', 'doctor', 'me', ',', 'app', 'state', 'not', '.']","['side-effects', 'efficacy', 'vaccine', '.']","['appointment', 'app', 'state', '.', 'appointment', 'time', ',', 'up', '.']"
Student,37,2,0,White,2.0,side-effects efficacy vaccine.,3.0,Mostly trust,Very safe,Very confident,"appointment app state. appointment time, up.","schedule appointment find doctor me, app state not.",0.0,0.0,neutral,positive,neutral,345,567,350,1,18,4,2,3,3,"['schedule', 'appointment', 'find', 'doctor', 'me', ',', 'app', 'state', 'not', '.']","['side-effects', 'efficacy', 'vaccine', '.']","['appointment', 'app', 'state', '.', 'appointment', 'time', ',', 'up', '.']"
Student,37,4,1,White,3.0,side-effects efficacy vaccine.,0.0,Mostly trust,Very safe,Somewhat confident,I'm getting Wednesday.,Time schedules.,0.0,0.0,neutral,neutral,neutral,144,239,350,1,18,3,2,3,1,"['Time', 'schedules', '.']","['side-effects', 'efficacy', 'vaccine', '.']","['I', ""'m"", 'getting', 'Wednesday', '.']"
Student,18,1,0,White,2.0,side-effects efficacy vaccine.,3.0,Completely trust,Very safe,Very confident,email including details process,Cost,0.0,0.0,neutral,neutral,neutral,453,44,350,1,18,4,0,3,4,['Cost'],"['side-effects', 'efficacy', 'vaccine', '.']","['email', 'including', 'details', 'process']"
Student,19,2,0,White,3.0,side-effects efficacy vaccine.,3.0,Somewhat trust,Very safe,Somewhat confident,Transportation,Transportation,0.0,0.0,neutral,neutral,neutral,289,245,350,1,18,3,4,3,1,['Transportation'],"['side-effects', 'efficacy', 'vaccine', '.']",['Transportation']
Student,19,2,0,White,2.0,side-effects efficacy vaccine.,3.0,Somewhat trust,Very safe,Very confident,Ease location,Mental health,0.0,0.0,neutral,negative,neutral,70,172,350,1,18,4,4,3,4,"['Mental', 'health']","['side-effects', 'efficacy', 'vaccine', '.']","['Ease', 'location']"
Student,18,1,0,White,2.0,side-effects efficacy vaccine.,3.0,Completely trust,Very safe,Very confident,"perfectly onboard getting vaccine soon available, sure vaccine processes fast possible safe.",things cause difficult vaccine.,0.0,0.0,neutral,negative,positive,595,594,350,1,18,4,0,3,3,"['things', 'cause', 'difficult', 'vaccine', '.']","['side-effects', 'efficacy', 'vaccine', '.']","['perfectly', 'onboard', 'getting', 'vaccine', 'soon', 'available', ',', 'sure', 'vaccine', 'processes', 'fast', 'possible', 'safe', '.']"
Student,18,1,0,White,1.0,"Issues reproduction, donâ™t know long term effects",3.0,Do not trust at all,Not safe at all,Only slightly confident,know long term effects.,donâ™t know long term effects.,-0.05,0.4,negative,negative,negative,518,354,78,1,18,2,1,1,0,"['donâ™t', 'know', 'long', 'term', 'effects', '.']","['Issues', 'reproduction', ',', 'donâ™t', 'know', 'long', 'term', 'effects']","['know', 'long', 'term', 'effects', '.']"
Student,19,1,0,White,2.0,"Issues reproduction, donâ™t know long term effects",3.0,Mostly trust,Very safe,Only slightly confident,"proximity public bathrooms (anxiety-related reactions injections), weekend availability","availability weekdays, lack clarity vaccine locations",-0.05,0.4,negative,neutral,neutral,618,290,78,1,18,2,2,3,2,"['availability', 'weekdays', ',', 'lack', 'clarity', 'vaccine', 'locations']","['Issues', 'reproduction', ',', 'donâ™t', 'know', 'long', 'term', 'effects']","['proximity', 'public', 'bathrooms', '(', 'anxiety-related', 'reactions', 'injections', ')', ',', 'weekend', 'availability']"
Student,19,1,0,White,2.0,"Issues reproduction, donâ™t know long term effects",3.0,Mostly trust,Very safe,Only slightly confident,"proximity public bathrooms (anxiety-related reactions injections), weekend availability","availability weekdays, lack clarity vaccine locations",-0.05,0.4,negative,neutral,neutral,618,290,78,1,18,2,2,3,2,"['availability', 'weekdays', ',', 'lack', 'clarity', 'vaccine', 'locations']","['Issues', 'reproduction', ',', 'donâ™t', 'know', 'long', 'term', 'effects']","['proximity', 'public', 'bathrooms', '(', 'anxiety-related', 'reactions', 'injections', ')', ',', 'weekend', 'availability']"
Staff,54,1,1,White,2.0,"Issues reproduction, donâ™t know long term effects",0.0,Mostly trust,Very safe,Only slightly confident,"proximity public bathrooms (anxiety-related reactions injections), weekend availability","availability weekdays, lack clarity vaccine locations",-0.05,0.4,negative,neutral,neutral,618,290,78,0,18,2,2,3,2,"['availability', 'weekdays', ',', 'lack', 'clarity', 'vaccine', 'locations']","['Issues', 'reproduction', ',', 'donâ™t', 'know', 'long', 'term', 'effects']","['proximity', 'public', 'bathrooms', '(', 'anxiety-related', 'reactions', 'injections', ')', ',', 'weekend', 'availability']"
Staff,19,2,1,White,1.0,large majority people know gotten vaccine end symptoms rid end sick covid.,0.0,Do not trust at all,Not safe at all,Not at all confident,"proximity public bathrooms (anxiety-related reactions injections), weekend availability","availability weekdays, lack clarity vaccine locations",-0.25,0.6428571428571428,negative,neutral,neutral,618,290,280,0,18,0,1,1,1,"['availability', 'weekdays', ',', 'lack', 'clarity', 'vaccine', 'locations']","['large', 'majority', 'people', 'know', 'gotten', 'vaccine', 'end', 'symptoms', 'rid', 'end', 'sick', 'covid', '.']","['proximity', 'public', 'bathrooms', '(', 'anxiety-related', 'reactions', 'injections', ')', ',', 'weekend', 'availability']"
Student,40,1,0,White,2.0,large majority people know gotten vaccine end symptoms rid end sick covid.,3.0,Mostly trust,Very safe,Very confident,"proximity public bathrooms (anxiety-related reactions injections), weekend availability","availability weekdays, lack clarity vaccine locations",-0.25,0.6428571428571428,negative,neutral,neutral,618,290,280,1,18,4,2,3,1,"['availability', 'weekdays', ',', 'lack', 'clarity', 'vaccine', 'locations']","['large', 'majority', 'people', 'know', 'gotten', 'vaccine', 'end', 'symptoms', 'rid', 'end', 'sick', 'covid', '.']","['proximity', 'public', 'bathrooms', '(', 'anxiety-related', 'reactions', 'injections', ')', ',', 'weekend', 'availability']"
Staff,19,2,0,White,2.0,large majority people know gotten vaccine end symptoms rid end sick covid.,3.0,Completely trust,Very safe,Very confident,vaccine given Boone,N/A. took,-0.25,0.6428571428571428,negative,neutral,neutral,704,174,280,0,18,4,0,3,1,"['N/A', '.', 'took']","['large', 'majority', 'people', 'know', 'gotten', 'vaccine', 'end', 'symptoms', 'rid', 'end', 'sick', 'covid', '.']","['vaccine', 'given', 'Boone']"
Student,19,2,0,White,1.0,lot people concerned articles effects. believing chips vaccine.,3.0,Completely trust,Mostly safe,Somewhat confident,able appointment time.,current health issues,0.0,0.0,neutral,neutral,positive,318,337,288,1,18,3,0,0,1,"['current', 'health', 'issues']","['lot', 'people', 'concerned', 'articles', 'effects', '.', 'believing', 'chips', 'vaccine', '.']","['able', 'appointment', 'time', '.']"
Student,19,2,0,White,2.0,lot people concerned articles effects. believing chips vaccine.,3.0,Mostly trust,Very safe,Very confident,Transportation,Finding Transportation,0.0,0.0,neutral,neutral,neutral,289,72,288,1,18,4,2,3,4,"['Finding', 'Transportation']","['lot', 'people', 'concerned', 'articles', 'effects', '.', 'believing', 'chips', 'vaccine', '.']",['Transportation']
Student,18,2,0,White,2.0,lot people concerned articles effects. believing chips vaccine.,3.0,Mostly trust,Very safe,Very confident,Transportation,Finding Transportation,0.0,0.0,neutral,neutral,neutral,289,72,288,1,18,4,2,3,4,"['Finding', 'Transportation']","['lot', 'people', 'concerned', 'articles', 'effects', '.', 'believing', 'chips', 'vaccine', '.']",['Transportation']
Student,20,2,1,White,2.0,lot people concerned articles effects. believing chips vaccine.,0.0,Completely trust,Very safe,Very confident,Vaccinations Legends,Distance time appointments,0.0,0.0,neutral,neutral,neutral,298,53,288,1,18,4,0,3,4,"['Distance', 'time', 'appointments']","['lot', 'people', 'concerned', 'articles', 'effects', '.', 'believing', 'chips', 'vaccine', '.']","['Vaccinations', 'Legends']"
Student,54,2,0,White,1.0,believe necessary one; vaccine developed Bill Gates children vaccinated real threats! trust vaccine believe political propaganda surrounding virus!,0.0,Do not trust at all,Not safe at all,Not at all confident,NOTHING...NEVER going,EVERYTHING....I vaccine...EVER,0.13749999999999998,0.4666666666666666,positive,neutral,neutral,219,57,187,1,18,0,1,1,4,"['EVERYTHING', '....', 'I', 'vaccine', '...', 'EVER']","['believe', 'necessary', 'one', ';', 'vaccine', 'developed', 'Bill', 'Gates', 'children', 'vaccinated', 'real', 'threats', '!', 'trust', 'vaccine', 'believe', 'political', 'propaganda', 'surrounding', 'virus', '!']","['NOTHING', '...', 'NEVER', 'going']"
Staff,20,2,0,White,1.0,type lol,0.0,Somewhat trust,Mostly safe,Somewhat confident,lol,EVERYTHING....I vaccine...EVER,0.5,0.44999999999999996,positive,neutral,positive,549,57,367,0,18,3,4,0,4,"['EVERYTHING', '....', 'I', 'vaccine', '...', 'EVER']","['type', 'lol']",['lol']
Student,23,2,0,White,1.0,type lol,3.0,Somewhat trust,Mostly safe,Somewhat confident,lol,EVERYTHING....I vaccine...EVER,0.5,0.44999999999999996,positive,neutral,positive,549,57,367,1,18,3,4,0,4,"['EVERYTHING', '....', 'I', 'vaccine', '...', 'EVER']","['type', 'lol']",['lol']
Student,22,1,1,White,1.0,hesitated. friend skeptical âœitâ™s studied enoughâ disagree them.,3.0,Completely trust,Mostly safe,Very confident,Variety dates vaccines getting issued.,"Limited dates available, poor communication App State vaccine",-0.5,0.5,negative,negative,neutral,303,136,265,1,18,4,0,0,4,"['Limited', 'dates', 'available', ',', 'poor', 'communication', 'App', 'State', 'vaccine']","['hesitated', '.', 'friend', 'skeptical', 'âœitâ™s', 'studied', 'enoughâ\x9d', 'disagree', 'them', '.']","['Variety', 'dates', 'vaccines', 'getting', 'issued', '.']"
Student,40,1,0,White,1.0,hesitated. friend skeptical âœitâ™s studied enoughâ disagree them.,3.0,Completely trust,Mostly safe,Very confident,Variety dates vaccines getting issued.,"Limited dates available, poor communication App State vaccine",-0.5,0.5,negative,negative,neutral,303,136,265,1,18,4,0,0,4,"['Limited', 'dates', 'available', ',', 'poor', 'communication', 'App', 'State', 'vaccine']","['hesitated', '.', 'friend', 'skeptical', 'âœitâ™s', 'studied', 'enoughâ\x9d', 'disagree', 'them', '.']","['Variety', 'dates', 'vaccines', 'getting', 'issued', '.']"
Staff,60,1,1,White,1.0,hesitated. friend skeptical âœitâ™s studied enoughâ disagree them.,0.0,Completely trust,Mostly safe,Very confident,Variety dates vaccines getting issued.,"Limited dates available, poor communication App State vaccine",-0.5,0.5,negative,negative,neutral,303,136,265,0,18,4,0,0,4,"['Limited', 'dates', 'available', ',', 'poor', 'communication', 'App', 'State', 'vaccine']","['hesitated', '.', 'friend', 'skeptical', 'âœitâ™s', 'studied', 'enoughâ\x9d', 'disagree', 'them', '.']","['Variety', 'dates', 'vaccines', 'getting', 'issued', '.']"
Staff,19,2,1,White,1.0,Grandfather heart issues,0.0,Somewhat trust,Not sure,Only slightly confident,Variety dates vaccines getting issued.,"Limited dates available, poor communication App State vaccine",0.0,0.0,neutral,negative,neutral,303,136,61,0,18,2,4,2,2,"['Limited', 'dates', 'available', ',', 'poor', 'communication', 'App', 'State', 'vaccine']","['Grandfather', 'heart', 'issues']","['Variety', 'dates', 'vaccines', 'getting', 'issued', '.']"
Student,20,2,0,White,1.0,Grandfather heart issues,3.0,Somewhat trust,Not sure,Only slightly confident,Variety dates vaccines getting issued.,"Limited dates available, poor communication App State vaccine",0.0,0.0,neutral,negative,neutral,303,136,61,1,18,2,4,2,2,"['Limited', 'dates', 'available', ',', 'poor', 'communication', 'App', 'State', 'vaccine']","['Grandfather', 'heart', 'issues']","['Variety', 'dates', 'vaccines', 'getting', 'issued', '.']"
Student,21,2,1,White,1.0,Grandfather heart issues,0.0,Somewhat trust,Not sure,Only slightly confident,Variety dates vaccines getting issued.,"Limited dates available, poor communication App State vaccine",0.0,0.0,neutral,negative,neutral,303,136,61,1,18,2,4,2,2,"['Limited', 'dates', 'available', ',', 'poor', 'communication', 'App', 'State', 'vaccine']","['Grandfather', 'heart', 'issues']","['Variety', 'dates', 'vaccines', 'getting', 'issued', '.']"
Student,22,2,1,White,2.0,Grandfather heart issues,0.0,Completely trust,Very safe,Very confident,flexible schedule,long distance travel,0.0,0.0,neutral,negative,neutral,470,495,61,1,18,4,0,3,0,"['long', 'distance', 'travel']","['Grandfather', 'heart', 'issues']","['flexible', 'schedule']"
Student,24,2,0,White,1.0,"weary needles big reason avoid it. nervous effects shot (soreness, fatugue) worse symptoms COVID",0.0,Somewhat trust,Mostly safe,Somewhat confident,wait school year academics symptoms combine cause stress.,travel  minutes it.,-0.2,0.35,negative,neutral,neutral,712,623,388,1,18,3,4,0,3,"['travel', 'minutes', 'it', '.']","['weary', 'needles', 'big', 'reason', 'avoid', 'it', '.', 'nervous', 'effects', 'shot', '(', 'soreness', ',', 'fatugue', ')', 'worse', 'symptoms', 'COVID']","['wait', 'school', 'year', 'academics', 'symptoms', 'combine', 'cause', 'stress', '.']"
Student,19,2,0,White,3.0,"weary needles big reason avoid it. nervous effects shot (soreness, fatugue) worse symptoms COVID",3.0,Somewhat trust,Mostly safe,Somewhat confident,wait school year academics symptoms combine cause stress.,travel  minutes it.,-0.2,0.35,negative,neutral,neutral,712,623,388,1,18,3,4,0,3,"['travel', 'minutes', 'it', '.']","['weary', 'needles', 'big', 'reason', 'avoid', 'it', '.', 'nervous', 'effects', 'shot', '(', 'soreness', ',', 'fatugue', ')', 'worse', 'symptoms', 'COVID']","['wait', 'school', 'year', 'academics', 'symptoms', 'combine', 'cause', 'stress', '.']"
Student,21,1,0,White,1.0,donâ™t trust read hear government media,3.0,Do not trust at all,Not safe at all,Not at all confident,wait school year academics symptoms combine cause stress.,travel  minutes it.,0.0,0.0,neutral,neutral,neutral,712,623,205,1,18,0,1,1,3,"['travel', 'minutes', 'it', '.']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['wait', 'school', 'year', 'academics', 'symptoms', 'combine', 'cause', 'stress', '.']"
Student,21,1,0,White,1.0,donâ™t trust read hear government media,3.0,Do not trust at all,Not safe at all,Not at all confident,wait school year academics symptoms combine cause stress.,travel  minutes it.,0.0,0.0,neutral,neutral,neutral,712,623,205,1,18,0,1,1,3,"['travel', 'minutes', 'it', '.']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['wait', 'school', 'year', 'academics', 'symptoms', 'combine', 'cause', 'stress', '.']"
Staff,67,1,1,White,1.0,donâ™t trust read hear government media,0.0,Do not trust at all,Not safe at all,Not at all confident,wait school year academics symptoms combine cause stress.,travel  minutes it.,0.0,0.0,neutral,neutral,neutral,712,623,205,0,18,0,1,1,3,"['travel', 'minutes', 'it', '.']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['wait', 'school', 'year', 'academics', 'symptoms', 'combine', 'cause', 'stress', '.']"
Staff,67,1,1,White,1.0,donâ™t trust read hear government media,0.0,Do not trust at all,Not safe at all,Not at all confident,wait school year academics symptoms combine cause stress.,travel  minutes it.,0.0,0.0,neutral,neutral,neutral,712,623,205,0,18,0,1,1,3,"['travel', 'minutes', 'it', '.']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['wait', 'school', 'year', 'academics', 'symptoms', 'combine', 'cause', 'stress', '.']"
Staff,25,2,1,White,2.0,donâ™t trust read hear government media,0.0,Mostly trust,Very safe,Very confident,able choose appointment time accommodates work class schedule.,able choose appointment time drive far shot.,0.0,0.0,neutral,positive,positive,321,274,205,0,18,4,2,3,1,"['able', 'choose', 'appointment', 'time', 'drive', 'far', 'shot', '.']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['able', 'choose', 'appointment', 'time', 'accommodates', 'work', 'class', 'schedule', '.']"
Student,66,2,0,White,2.0,donâ™t trust read hear government media,3.0,Mostly trust,Very safe,Very confident,able choose appointment time accommodates work class schedule.,able choose appointment time drive far shot.,0.0,0.0,neutral,positive,positive,321,274,205,1,18,4,2,3,1,"['able', 'choose', 'appointment', 'time', 'drive', 'far', 'shot', '.']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['able', 'choose', 'appointment', 'time', 'accommodates', 'work', 'class', 'schedule', '.']"
Staff,29,2,1,White,2.0,donâ™t trust read hear government media,0.0,Mostly trust,Very safe,Very confident,able choose appointment time accommodates work class schedule.,able choose appointment time drive far shot.,0.0,0.0,neutral,positive,positive,321,274,205,0,18,4,2,3,1,"['able', 'choose', 'appointment', 'time', 'drive', 'far', 'shot', '.']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['able', 'choose', 'appointment', 'time', 'accommodates', 'work', 'class', 'schedule', '.']"
Staff,29,1,1,White,2.0,donâ™t trust read hear government media,0.0,Completely trust,Very safe,Very confident,Email communication,Lack communications,0.0,0.0,neutral,neutral,neutral,93,119,205,0,18,4,0,3,4,"['Lack', 'communications']","['donâ™t', 'trust', 'read', 'hear', 'government', 'media']","['Email', 'communication']"
Staff,18,2,0,White,1.0,fact vaccine developed quickly little time testing.,0.0,Completely trust,Very safe,Somewhat confident,know.,know.,0.08194444444444444,0.43333333333333335,positive,neutral,positive,520,454,237,0,18,3,0,3,3,"['know', '.']","['fact', 'vaccine', 'developed', 'quickly', 'little', 'time', 'testing', '.']","['know', '.']"
Student,20,1,0,White,2.0,fact vaccine developed quickly little time testing.,3.0,Completely trust,Very safe,Somewhat confident,know.,know.,0.08194444444444444,0.43333333333333335,positive,neutral,positive,520,454,237,1,18,3,0,3,3,"['know', '.']","['fact', 'vaccine', 'developed', 'quickly', 'little', 'time', 'testing', '.']","['know', '.']"
Student,20,1,0,White,2.0,fact vaccine developed quickly little time testing.,3.0,Completely trust,Very safe,Somewhat confident,know.,know.,0.08194444444444444,0.43333333333333335,positive,neutral,positive,520,454,237,1,18,3,0,3,3,"['know', '.']","['fact', 'vaccine', 'developed', 'quickly', 'little', 'time', 'testing', '.']","['know', '.']"
Student,20,1,1,White,2.0,fact vaccine developed quickly little time testing.,0.0,Somewhat trust,Mostly safe,Somewhat confident,close location dorm possibility separate testing area sides campus,Transportation parking,0.08194444444444444,0.43333333333333335,positive,neutral,neutral,404,247,237,1,18,3,4,0,1,"['Transportation', 'parking']","['fact', 'vaccine', 'developed', 'quickly', 'little', 'time', 'testing', '.']","['close', 'location', 'dorm', 'possibility', 'separate', 'testing', 'area', 'sides', 'campus']"
Student,19,1,0,White,2.0,fact vaccine developed quickly little time testing.,3.0,Somewhat trust,Mostly safe,Somewhat confident,close location dorm possibility separate testing area sides campus,Transportation parking,0.08194444444444444,0.43333333333333335,positive,neutral,neutral,404,247,237,1,18,3,4,0,1,"['Transportation', 'parking']","['fact', 'vaccine', 'developed', 'quickly', 'little', 'time', 'testing', '.']","['close', 'location', 'dorm', 'possibility', 'separate', 'testing', 'area', 'sides', 'campus']"
Student,18,1,1,White,1.0,effects,3.0,Do not trust at all,Not safe at all,Not at all confident,"Nothing, Iâ™m getting",Nothing. Iâ™m getting,0.0,0.0,neutral,neutral,neutral,222,187,210,1,18,0,1,1,1,"['Nothing', '.', 'Iâ™m', 'getting']",['effects'],"['Nothing', ',', 'Iâ™m', 'getting']"
Student,19,2,0,White,2.0,effects,3.0,Completely trust,Mostly safe,Somewhat confident,"wouldnâ™t need anything, soon could.",conditions vaccine clinic unsafe (if people clinic following covid- safety guidelines),0.0,0.0,neutral,neutral,neutral,736,331,210,1,18,3,0,0,1,"['conditions', 'vaccine', 'clinic', 'unsafe', '(', 'if', 'people', 'clinic', 'following', 'covid-', 'safety', 'guidelines', ')']",['effects'],"['wouldnâ™t', 'need', 'anything', ',', 'soon', 'could', '.']"
Student,50,2,0,White,2.0,effects,3.0,Completely trust,Mostly safe,Somewhat confident,"wouldnâ™t need anything, soon could.",conditions vaccine clinic unsafe (if people clinic following covid- safety guidelines),0.0,0.0,neutral,neutral,neutral,736,331,210,1,18,3,0,0,1,"['conditions', 'vaccine', 'clinic', 'unsafe', '(', 'if', 'people', 'clinic', 'following', 'covid-', 'safety', 'guidelines', ')']",['effects'],"['wouldnâ™t', 'need', 'anything', ',', 'soon', 'could', '.']"
Staff,21,1,1,White,2.0,effects,0.0,Completely trust,Very safe,Very confident,Telling group available,conditions vaccine clinic unsafe (if people clinic following covid- safety guidelines),0.0,0.0,neutral,neutral,positive,281,331,210,0,18,4,0,3,1,"['conditions', 'vaccine', 'clinic', 'unsafe', '(', 'if', 'people', 'clinic', 'following', 'covid-', 'safety', 'guidelines', ')']",['effects'],"['Telling', 'group', 'available']"
Student,31,2,0,Black or African American,2.0,effects,3.0,Mostly trust,Mostly safe,Somewhat confident,accessible campus neighboring pharmacy,cost limited times receive vaccine (ie- -,0.0,0.0,neutral,negative,positive,330,334,210,1,10,3,2,0,1,"['cost', 'limited', 'times', 'receive', 'vaccine', '(', 'ie-', '-']",['effects'],"['accessible', 'campus', 'neighboring', 'pharmacy']"
Staff,18,2,0,White,1.0,Bad reactions happen people vaccine,3.0,Somewhat trust,Mostly safe,Somewhat confident,Knowing actual vaccine research,knowing effects react,-0.6999999999999998,0.6666666666666666,negative,neutral,positive,170,459,18,0,18,3,4,0,0,"['knowing', 'effects', 'react']","['Bad', 'reactions', 'happen', 'people', 'vaccine']","['Knowing', 'actual', 'vaccine', 'research']"
Student,19,2,0,White,3.0,Bad reactions happen people vaccine,3.0,Do not trust at all,Not sure,Only slightly confident,research,credible research,-0.6999999999999998,0.6666666666666666,negative,positive,positive,633,336,18,1,18,2,1,2,0,"['credible', 'research']","['Bad', 'reactions', 'happen', 'people', 'vaccine']",['research']
Student,18,2,0,White,2.0,Bad reactions happen people vaccine,3.0,Completely trust,Very safe,Very confident,research,credible research,-0.6999999999999998,0.6666666666666666,negative,positive,positive,633,336,18,1,18,4,0,3,0,"['credible', 'research']","['Bad', 'reactions', 'happen', 'people', 'vaccine']",['research']
Student,52,1,0,White,2.0,Bad reactions happen people vaccine,3.0,Completely trust,Very safe,Very confident,research,credible research,-0.6999999999999998,0.6666666666666666,negative,positive,positive,633,336,18,1,18,4,0,3,0,"['credible', 'research']","['Bad', 'reactions', 'happen', 'people', 'vaccine']",['research']
Staff,44,1,0,White,2.0,Bad reactions happen people vaccine,3.0,Completely trust,Very safe,Very confident,research,credible research,-0.6999999999999998,0.6666666666666666,negative,positive,positive,633,336,18,0,18,4,0,3,0,"['credible', 'research']","['Bad', 'reactions', 'happen', 'people', 'vaccine']",['research']
Student,37,2,1,White,2.0,Bad reactions happen people vaccine,0.0,Completely trust,Very safe,Very confident,Ease scheduling safe (socially distanced) area vaccine,Long lines drive-up vaccine,-0.6999999999999998,0.6666666666666666,negative,negative,positive,71,154,18,1,18,4,0,3,2,"['Long', 'lines', 'drive-up', 'vaccine']","['Bad', 'reactions', 'happen', 'people', 'vaccine']","['Ease', 'scheduling', 'safe', '(', 'socially', 'distanced', ')', 'area', 'vaccine']"
Student,20,2,0,White,2.0,Bad reactions happen people vaccine,3.0,Completely trust,Very safe,Very confident,Ease scheduling safe (socially distanced) area vaccine,Long lines drive-up vaccine,-0.6999999999999998,0.6666666666666666,negative,negative,positive,71,154,18,1,18,4,0,3,2,"['Long', 'lines', 'drive-up', 'vaccine']","['Bad', 'reactions', 'happen', 'people', 'vaccine']","['Ease', 'scheduling', 'safe', '(', 'socially', 'distanced', ')', 'area', 'vaccine']"
Student,51,2,1,White,2.0,Bad reactions happen people vaccine,0.0,Completely trust,Very safe,Very confident,Ease scheduling safe (socially distanced) area vaccine,Long lines drive-up vaccine,-0.6999999999999998,0.6666666666666666,negative,negative,positive,71,154,18,1,18,4,0,3,2,"['Long', 'lines', 'drive-up', 'vaccine']","['Bad', 'reactions', 'happen', 'people', 'vaccine']","['Ease', 'scheduling', 'safe', '(', 'socially', 'distanced', ')', 'area', 'vaccine']"
Staff,23,3,1,White,2.0,Bad reactions happen people vaccine,0.0,Mostly trust,Very safe,Very confident,better explanation qualifies stage/how physically getting it.,Lack information making appointments/ getting it.,-0.6999999999999998,0.6666666666666666,negative,neutral,positive,365,122,18,0,18,4,2,3,2,"['Lack', 'information', 'making', 'appointments/', 'getting', 'it', '.']","['Bad', 'reactions', 'happen', 'people', 'vaccine']","['better', 'explanation', 'qualifies', 'stage/how', 'physically', 'getting', 'it', '.']"
Student,19,2,0,White,1.0,affects,0.0,Do not trust at all,Not safe at all,Somewhat confident,better explanation qualifies stage/how physically getting it.,unknown long term affects,0.0,0.0,neutral,negative,positive,365,642,175,1,18,3,1,1,3,"['unknown', 'long', 'term', 'affects']",['affects'],"['better', 'explanation', 'qualifies', 'stage/how', 'physically', 'getting', 'it', '.']"
